"OpeArea","individual","extremeI","highI","mediumI","lowI","noneI","extremeH","highH","mediumH","lowH","noneH","classextreme","classhigh","classmedium","classlow","classnone","freq","1.Extreme","2.High","3.Medium","4.Low","5.None"
"Amedi",5060,52,600,888,2535,985,10,111,144,432,165,"1","3","3","5","3",43,2,8,16,13,4
"Ankawa",6244,0,422,3044,2033,745,0,130,642,602,145,"1","2","5","5","3",18,0,2,7,8,1
"Dahuk-North",2810,68,78,331,1610,723,12,15,60,207,122,"1","1","2","4","3",42,2,3,7,10,20
"Dahuk-South",5562,536,355,1082,1986,1603,88,66,190,352,254,"3","2","4","4","4",66,4,5,14,28,15
"Diyala/Suli",4270,712,613,1061,1172,712,142,288,246,359,167,"3","3","4","4","3",98,21,20,34,16,7
"Erbil-City",2545,0,0,1369,1176,0,0,0,325,260,0,"1","1","4","4","1",3,0,0,1,2,0
"Erbil-East",4338,0,351,1470,2358,159,0,56,321,551,32,"1","2","4","5","1",22,0,2,9,8,3
"Erbil-West",1126,489,0,30,607,0,101,0,8,111,0,"2","1","1","3","1",11,4,0,1,6,0
"Erbil-north",1741,0,0,0,225,1516,0,0,0,39,272,"1","1","1","1","4",9,0,0,0,1,8
"Ninewa",2452,0,172,395,1079,806,0,31,66,187,136,"1","1","2","4","3",37,0,2,8,14,13
"Sumel-City",3865,28,168,1792,1359,518,6,28,291,254,91,"1","1","4","4","3",52,1,1,20,21,9
"Sumel-North",3277,28,558,966,1227,498,5,85,158,209,77,"1","3","3","4","2",72,1,14,20,27,10
"Sumel-South",5551,59,551,1227,2631,1083,8,80,229,477,165,"1","3","4","5","4",85,1,7,21,38,18
"Sumel-West",4307,1033,823,1675,681,95,89,121,312,98,19,"4","3","4","3","1",39,2,14,11,10,2
"Zahko1",4480,0,1123,179,2903,275,0,180,32,487,50,"1","4","1","5","2",33,0,4,4,22,3
"Zahko2",7651,0,264,3931,965,2491,0,44,623,159,433,"1","2","5","3","5",27,0,1,13,3,10
"Zahko3",4420,392,91,1019,1380,1538,64,16,174,240,232,"2","1","4","4","4",46,5,1,6,14,20
"Zahko4",2465,280,353,1150,465,217,42,50,175,74,36,"2","2","4","2","1",40,3,5,17,10,5
"Zahko5",4231,93,241,2628,835,434,19,40,386,140,66,"1","1","5","3","2",47,2,5,20,10,10
"Zahko6",4604,0,0,4085,307,212,0,0,739,48,35,"1","1","6","2","1",15,0,0,2,7,6
"Zahko7",4895,58,333,799,2094,1611,9,32,138,352,262,"1","2","3","5","4",75,1,3,10,30,31
